#x;y;rot;heading;speed;rrot;x';y';heading'
49.621;320.059;9.810;26.651;1;20;50.070;320.953;26.814
50.070;320.953;9.840;26.814;1;20;50.521;321.846;26.978
50.521;321.846;9.870;26.978;1;20;50.975;322.737;27.143
50.975;322.737;9.900;27.143;1;20;51.431;323.627;27.308
51.431;323.627;9.930;27.308;1;20;51.890;324.515;27.473
51.890;324.515;9.960;27.473;1;20;52.351;325.403;27.639
52.351;325.403;9.990;27.639;1;20;52.815;326.288;27.806
52.815;326.288;10.020;27.806;1;20;53.281;327.173;27.973
53.281;327.173;10.050;27.973;1;20;53.750;328.056;28.140
53.750;328.056;10.080;28.140;1;20;54.222;328.938;28.308
54.222;328.938;10.110;28.308;1;20;54.696;329.818;28.477
54.696;329.818;10.140;28.477;1;20;55.173;330.697;28.646
55.173;330.697;10.170;28.646;1;20;55.652;331.575;28.815
55.652;331.575;10.200;28.815;1;20;56.134;332.451;28.985
56.134;332.451;10.230;28.985;1;20;56.619;333.326;29.155
56.619;333.326;10.260;29.155;1;20;57.106;334.199;29.326
57.106;334.199;10.290;29.326;1;20;57.596;335.071;29.498
57.596;335.071;10.320;29.498;1;20;58.088;335.941;29.670
58.088;335.941;10.350;29.670;1;20;58.583;336.810;29.842
58.583;336.810;10.380;29.842;1;20;59.081;337.678;30.015
59.081;337.678;10.410;30.015;1;20;59.581;338.544;30.189
59.581;338.544;10.440;30.189;1;20;60.084;339.408;30.363
60.084;339.408;10.470;30.363;1;20;60.590;340.271;30.537
60.590;340.271;10.500;30.537;1;20;61.098;341.132;30.712
61.098;341.132;10.530;30.712;1;20;61.608;341.992;30.888
61.608;341.992;10.560;30.888;1;20;62.122;342.850;31.064
62.122;342.850;10.590;31.064;1;20;62.638;343.707;31.240
62.638;343.707;10.620;31.240;1;20;63.156;344.562;31.417
63.156;344.562;10.650;31.417;1;20;63.678;345.415;31.595
63.678;345.415;10.680;31.595;1;20;64.202;346.267;31.773
64.202;346.267;10.710;31.773;1;20;64.728;347.117;31.951
64.728;347.117;10.740;31.951;1;20;65.257;347.965;32.130
65.257;347.965;10.770;32.130;1;20;65.789;348.812;32.310
65.789;348.812;10.800;32.310;1;20;66.324;349.657;32.490
66.324;349.657;10.830;32.490;1;20;66.861;350.501;32.670
66.861;350.501;10.860;32.670;1;20;67.401;351.343;32.851
67.401;351.343;10.890;32.851;1;20;67.943;352.183;33.033
67.943;352.183;10.920;33.033;1;20;68.488;353.021;33.215
68.488;353.021;10.950;33.215;1;20;69.036;353.858;33.397
69.036;353.858;10.980;33.397;1;20;69.586;354.693;33.580
69.586;354.693;11.010;33.580;1;20;70.140;355.526;33.764
70.140;355.526;11.040;33.764;1;20;70.695;356.357;33.948
70.695;356.357;11.070;33.948;1;20;71.254;357.187;34.132
71.254;357.187;11.100;34.132;1;20;71.815;358.014;34.317
71.815;358.014;11.130;34.317;1;20;72.379;358.840;34.503
72.379;358.840;11.160;34.503;1;20;72.945;359.664;34.689
72.945;359.664;11.190;34.689;1;20;73.514;360.487;34.875
73.514;360.487;11.220;34.875;1;20;74.086;361.307;35.062
74.086;361.307;11.250;35.062;1;20;74.660;362.126;35.250
74.660;362.126;11.280;35.250;1;20;75.238;362.942;35.438
75.238;362.942;11.310;35.438;1;20;75.817;363.757;35.626
75.817;363.757;11.340;35.626;1;20;76.400;364.570;35.815
76.400;364.570;11.370;35.815;1;20;76.985;365.381;36.005
76.985;365.381;11.400;36.005;1;20;77.573;366.190;36.195
77.573;366.190;11.430;36.195;1;20;78.163;366.997;36.385
78.163;366.997;11.460;36.385;1;20;78.757;367.802;36.576
78.757;367.802;11.490;36.576;1;20;79.353;368.605;36.768
79.353;368.605;11.520;36.768;1;20;79.951;369.406;36.960
79.951;369.406;11.550;36.960;1;20;80.552;370.205;37.152
80.552;370.205;11.580;37.152;1;20;81.156;371.002;37.345
81.156;371.002;11.610;37.345;1;20;81.763;371.797;37.539
81.763;371.797;11.640;37.539;1;20;82.372;372.590;37.733
82.372;372.590;11.670;37.733;1;20;82.984;373.381;37.927
82.984;373.381;11.700;37.927;1;20;83.599;374.169;38.122
83.599;374.169;11.730;38.122;1;20;84.216;374.956;38.318
84.216;374.956;11.760;38.318;1;20;84.836;375.741;38.514
84.836;375.741;11.790;38.514;1;20;85.459;376.523;38.710
85.459;376.523;11.820;38.710;1;20;86.084;377.304;38.907
86.084;377.304;11.850;38.907;1;20;86.712;378.082;39.105
86.712;378.082;11.880;39.105;1;20;87.343;378.858;39.303
87.343;378.858;11.910;39.303;1;20;87.977;379.631;39.501
87.977;379.631;11.940;39.501;1;20;88.613;380.403;39.700
88.613;380.403;11.970;39.700;1;20;89.251;381.172;39.900
89.251;381.172;12.000;39.900;1;20;89.893;381.940;40.100
89.893;381.940;12.030;40.100;1;20;90.537;382.705;40.300
90.537;382.705;12.060;40.300;1;20;91.184;383.467;40.501
91.184;383.467;12.090;40.501;1;20;91.833;384.228;40.703
91.833;384.228;12.120;40.703;1;20;92.485;384.986;40.905
92.485;384.986;12.150;40.905;1;20;93.140;385.742;41.107
93.140;385.742;12.180;41.107;1;20;93.798;386.495;41.310
93.798;386.495;12.210;41.310;1;20;94.458;387.246;41.514
94.458;387.246;12.240;41.514;1;20;95.121;387.995;41.718
95.121;387.995;12.270;41.718;1;20;95.786;388.741;41.922
95.786;388.741;12.300;41.922;1;20;96.454;389.485;42.127
96.454;389.485;12.330;42.127;1;20;97.125;390.227;42.333
97.125;390.227;12.360;42.333;1;20;97.799;390.966;42.539
97.799;390.966;12.390;42.539;1;20;98.475;391.703;42.745
98.475;391.703;12.420;42.745;1;20;99.153;392.438;42.952
99.153;392.438;12.450;42.952;1;20;99.835;393.169;43.160
99.835;393.169;12.480;43.160;1;20;100.519;393.899;43.368
100.519;393.899;12.510;43.368;1;20;101.205;394.626;43.576
101.205;394.626;12.540;43.576;1;20;101.895;395.350;43.785
101.895;395.350;12.570;43.785;1;20;102.587;396.072;43.995
102.587;396.072;12.600;43.995;1;20;103.281;396.792;44.205
103.281;396.792;12.630;44.205;1;20;103.979;397.508;44.415
103.979;397.508;12.660;44.415;1;20;104.678;398.223;44.626
104.678;398.223;12.690;44.626;1;20;105.381;398.934;44.838
105.381;398.934;12.720;44.838;1;20;106.086;399.644;45.050
106.086;399.644;12.750;45.050;1;20;106.794;400.350;45.262
106.794;400.350;12.780;45.262;1;20;107.504;401.054;45.475
107.504;401.054;12.810;45.475;1;20;108.217;401.755;45.689
108.217;401.755;12.840;45.689;1;20;108.933;402.454;45.903
108.933;402.454;12.870;45.903;1;20;109.651;403.150;46.117
109.651;403.150;12.900;46.117;1;20;110.372;403.843;46.332
110.372;403.843;12.930;46.332;1;20;111.095;404.533;46.548
